iteration,time_sec,hvm_busy_cores,hvm_cores,primary_busy_cores,primary_cores,primary_cores_mask,system_busy_mask_raw,f_min,f_max,f_avg,f_stddev,f_med,pred_peak,upper_bound,cpu_max,overpredicted,safeguard,feedback_max,update_model
0,0.005,0,1,0,11,0000000000000000000000000000000000000000011111111111000000000000,0000000000000000000000000000000000000000000000000000000000000100,0,4,0.100000,0.479583,0,0,11,4,1,0,4,0
0,0.010,1,1,1,11,0000000000000000000000000000000000000000011111111111000000000000,0000000000000000000000000000000000000000100000001000000000000110,0,5,0.840000,0.808950,1,5,5,5,1,0,5,1
1,0.027,0,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000000000000000000000001,0,3,0.150000,0.554527,0,5,5,3,1,0,5,1
1,0.032,0,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000000000000000000000001,0,4,0.140000,0.600333,0,5,5,4,1,0,5,1
1,0.037,0,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000000000000000000000001,0,3,0.110000,0.444860,0,5,5,3,1,0,5,1
1,0.042,0,7,1,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000000000100000000000001,0,3,0.120000,0.453431,0,4,4,3,1,0,5,1
2,0.058,0,8,0,4,0000000000000000000000000000000000000000000000001111000000000000,0000000000000000000000000000000000000000000000000000000000000010,0,3,0.110000,0.421782,0,4,4,3,1,0,5,1
2,0.063,0,8,0,4,0000000000000000000000000000000000000000000000001111000000000000,0000000000000000000000000000000000000000000000000000000000000010,0,4,0.180000,0.726361,0,0,8,4,0,1,5,1
3,0.079,0,4,0,8,0000000000000000000000000000000000000000000011111111000000000000,0000000000000000000000000000000000000000000000000000000000000010,0,5,0.130000,0.594222,0,5,5,5,1,0,5,1
4,0.095,0,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000000000000000000000010,0,3,0.100000,0.479583,0,5,5,3,1,0,5,1
4,0.100,1,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000100000000000000000010,0,3,0.120000,0.474974,0,5,5,3,1,0,5,1
4,0.105,1,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000100000000000000000010,0,3,0.110000,0.466798,0,5,5,3,1,0,5,1
4,0.110,1,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000100000000000000000010,0,4,0.130000,0.541387,0,5,5,4,1,0,5,1
4,0.115,1,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000100000000000000000010,0,3,0.070000,0.380920,0,5,5,3,1,0,5,1
4,0.120,0,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000000000000000000000010,0,2,0.130000,0.461628,0,5,5,2,1,0,5,1
4,0.125,0,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000000000000000000000010,0,2,0.090000,0.402368,0,5,5,2,1,0,5,1
4,0.130,1,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000001000000000000000010,0,3,0.100000,0.435890,0,5,5,3,1,0,5,1
4,0.135,0,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000000000000000000000010,0,3,0.130000,0.503090,0,4,4,3,1,0,5,1
5,0.151,1,8,0,4,0000000000000000000000000000000000000000000000001111000000000000,0000000000000000000000000000000000000000000001000000000000000010,0,3,0.110000,0.444860,0,4,4,3,1,0,5,1
5,0.156,1,8,0,4,0000000000000000000000000000000000000000000000001111000000000000,0000000000000000000000000000000000000000000001000000000000000010,0,3,0.130000,0.503090,0,3,3,3,1,0,5,1
6,0.172,1,9,0,3,0000000000000000000000000000000000000000000000000111000000000000,0000000000000000000000000000000000000000000000100000000000000010,0,3,0.070000,0.380920,0,0,6,3,0,1,5,1
7,0.188,0,6,0,6,0000000000000000000000000000000000000000000000111111000000000000,0000000000000000000000000000000000000000000000000000000000000010,0,6,0.180000,0.792212,0,0,11,6,0,1,6,1
8,0.204,1,1,0,11,0000000000000000000000000000000000000000011111111111000000000000,0000000000000000000000000000000000000000100000000000000000000010,0,4,0.120000,0.534416,0,4,4,4,1,0,6,1
9,0.220,2,8,0,4,0000000000000000000000000000000000000000000000001111000000000000,0000000000000000000000000000000000000000110000000000000000000010,0,3,0.100000,0.412311,0,4,4,3,1,0,6,1
9,0.225,1,8,0,4,0000000000000000000000000000000000000000000000001111000000000000,0000000000000000000000000000000000000000010000000000000000000010,0,4,0.100000,0.479583,0,0,8,4,0,1,6,1
10,0.241,1,4,0,8,0000000000000000000000000000000000000000000011111111000000000000,0000000000000000000000000000000000000000100000000000000000000001,0,2,0.080000,0.305941,0,5,5,2,1,0,6,1
11,0.257,2,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000110000000000000000000111,0,4,0.110000,0.527162,0,5,5,4,1,0,6,1
11,0.262,0,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000000000000000000000010,0,3,0.070000,0.380920,0,5,5,3,1,0,6,1
11,0.267,1,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000001000000000000000000010,0,2,0.050000,0.295804,0,5,5,2,1,0,6,1
11,0.272,1,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000001000000000000000000010,0,5,2.110000,2.378634,0,0,10,5,0,1,6,1
12,0.288,0,2,0,10,0000000000000000000000000000000000000000001111111111000000000000,0000000000000000000000000000000000000000000000000000000000000010,0,4,0.250000,0.606218,0,6,6,4,1,0,6,1
13,0.304,0,6,0,6,0000000000000000000000000000000000000000000000111111000000000000,0000000000000000000000000000000000000000000000000000000000000110,0,3,0.090000,0.376696,0,6,6,3,1,0,6,1
13,0.309,0,6,0,6,0000000000000000000000000000000000000000000000111111000000000000,0000000000000000000000000000000000000000000000000000000000000010,0,4,0.100000,0.479583,0,4,4,4,1,0,6,1
14,0.325,0,8,0,4,0000000000000000000000000000000000000000000000001111000000000000,0000000000000000000000000000000000000000000000000000000000000001,0,2,0.080000,0.365513,0,4,4,2,1,0,6,1
14,0.330,4,8,0,4,0000000000000000000000000000000000000000000000001111000000000000,0000000000000000000000000000000000000000101101000000000000000001,0,2,0.050000,0.295804,0,4,4,2,1,0,6,1
14,0.336,0,8,0,4,0000000000000000000000000000000000000000000000001111000000000000,0000000000000000000000000000000000000000000000000000000000000111,0,2,0.070000,0.324191,0,4,4,2,1,0,6,1
14,0.341,8,8,0,4,0000000000000000000000000000000000000000000000001111000000000000,0000000000000000000000000000000000000000111111110000000000000100,0,4,0.150000,0.638357,0,0,8,4,0,1,6,1
15,0.357,4,4,0,8,0000000000000000000000000000000000000000000011111111000000000000,0000000000000000000000000000000000000000111100000000000000000010,0,4,0.130000,0.577148,0,5,5,4,1,0,6,1
16,0.373,7,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000111111100000000000000010,0,3,0.090000,0.402368,0,5,5,3,1,0,6,1
16,0.378,7,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000111111100000000000000010,0,4,0.160000,0.643739,0,5,5,4,1,0,6,1
16,0.383,7,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000111111100000000000000010,0,3,0.120000,0.515364,0,5,5,3,1,0,6,1
16,0.388,7,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000111111100000000000000010,0,3,0.190000,0.688404,0,4,4,3,1,0,6,1
17,0.404,8,8,0,4,0000000000000000000000000000000000000000000000001111000000000000,0000000000000000000000000000000000000000111111110000000000000010,0,3,0.130000,0.503090,0,4,4,3,1,0,6,1
17,0.409,8,8,0,4,0000000000000000000000000000000000000000000000001111000000000000,0000000000000000000000000000000000000000111111110000000000000010,0,3,0.200000,0.583095,0,4,4,3,1,0,6,1
17,0.414,8,8,2,4,0000000000000000000000000000000000000000000000001111000000000000,0000000000000000000000000000000000000000111111111100000000000010,0,4,0.160000,0.578273,0,0,8,4,0,1,6,1
18,0.430,4,4,0,8,0000000000000000000000000000000000000000000011111111000000000000,0000000000000000000000000000000000000000111100000000000000000010,0,3,0.130000,0.541387,0,5,5,3,1,0,6,1
19,0.446,7,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000111111100000000000000010,0,4,0.140000,0.548088,0,5,5,4,1,0,6,1
19,0.451,7,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000111111100000000000000010,0,5,0.170000,0.735595,0,0,10,5,0,1,6,1
20,0.467,2,2,0,10,0000000000000000000000000000000000000000001111111111000000000000,0000000000000000000000000000000000000000110000000000000000000010,0,4,0.090000,0.471063,0,6,6,4,1,0,6,1
21,0.483,6,6,0,6,0000000000000000000000000000000000000000000000111111000000000000,0000000000000000000000000000000000000000111111000000000000000010,0,3,0.070000,0.406325,0,6,6,3,1,0,6,1
21,0.488,6,6,0,6,0000000000000000000000000000000000000000000000111111000000000000,0000000000000000000000000000000000000000111111000000000000000010,0,3,0.130000,0.503090,0,6,6,3,1,0,6,1
21,0.493,6,6,0,6,0000000000000000000000000000000000000000000000111111000000000000,0000000000000000000000000000000000000000111111000000000000000001,0,3,0.111111,0.490081,0,6,6,3,1,0,6,1
21,0.498,6,6,0,6,0000000000000000000000000000000000000000000000111111000000000000,0000000000000000000000000000000000000000111111000000000000000001,0,3,0.110000,0.466798,0,4,4,3,1,0,6,1
22,0.514,8,8,0,4,0000000000000000000000000000000000000000000000001111000000000000,0000000000000000000000000000000000000000111111110000000000000010,0,3,0.140000,0.566039,0,4,4,3,1,0,6,1
22,0.519,8,8,1,4,0000000000000000000000000000000000000000000000001111000000000000,0000000000000000000000000000000000000000111111110100000000000010,0,3,0.140000,0.548088,0,4,4,3,1,0,6,1
22,0.524,8,8,0,4,0000000000000000000000000000000000000000000000001111000000000000,0000000000000000000000000000000000000000111111110000000000000010,0,3,0.130000,0.482804,0,4,4,3,1,0,6,1
22,0.529,8,8,1,4,0000000000000000000000000000000000000000000000001111000000000000,0000000000000000000000000000000000000000111111111000000000000010,0,4,0.170000,0.566657,0,0,8,4,0,1,6,1
23,0.545,4,4,3,8,0000000000000000000000000000000000000000000011111111000000000000,0000000000000000000000000000000000000000111101010100000000000010,0,3,0.090000,0.426497,0,5,5,3,1,0,6,1
24,0.561,7,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000111111100000000000000010,0,5,0.160000,0.643739,0,0,10,5,0,1,6,1
25,0.577,2,2,0,10,0000000000000000000000000000000000000000001111111111000000000000,0000000000000000000000000000000000000000110000000000000000000010,0,3,0.100000,0.412311,0,6,6,3,1,0,6,1
