iteration,time_sec,hvm_busy_cores,hvm_cores,primary_busy_cores,primary_cores,primary_cores_mask,system_busy_mask_raw,f_min,f_max,f_avg,f_stddev,f_med,pred_peak,upper_bound,cpu_max,overpredicted,safeguard,feedback_max,update_model
0,0.005,0,1,1,11,0000000000000000000000000000000000000000011111111111000000000000,0000000000000000000000000000000000000000010000000000000000000001,0,4,0.110000,0.527162,0,0,11,4,1,0,4,0
0,0.010,0,1,1,11,0000000000000000000000000000000000000000011111111111000000000000,0000000000000000000000000000000000000000000001000000000000000101,0,3,0.110000,0.487750,0,3,3,3,1,0,4,1
1,0.027,0,9,0,3,0000000000000000000000000000000000000000000000000111000000000000,0000000000000000000000000000000000000000000000000000000000000010,0,3,0.130000,0.522590,0,0,6,3,0,1,4,1
2,0.043,0,6,0,6,0000000000000000000000000000000000000000000000111111000000000000,0000000000000000000000000000000000000000000000000000000000010010,0,3,0.100000,0.435890,0,4,4,3,1,0,4,1
3,0.059,0,8,0,4,0000000000000000000000000000000000000000000000001111000000000000,0000000000000000000000000000000000000000000000000000000000000001,0,4,0.100000,0.500000,0,0,8,4,0,1,4,1
4,0.075,0,4,0,8,0000000000000000000000000000000000000000000011111111000000000000,0000000000000000000000000000000000000000000000000000000000000100,0,3,0.090000,0.426497,0,5,5,3,1,0,4,1
5,0.091,1,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000001000000000000000000100,0,4,0.150000,0.606218,0,5,5,4,1,0,4,1
5,0.096,1,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000001000000000000000000100,0,2,0.070000,0.324191,0,5,5,2,1,0,4,1
5,0.101,0,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000000000000000000000101,0,3,0.090000,0.426497,0,5,5,3,1,0,4,1
5,0.106,0,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000000000000000000000100,0,2,0.100000,0.412311,0,5,5,2,1,0,4,1
5,0.111,0,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000000000000000000000100,0,2,0.060000,0.310483,0,4,4,2,1,0,4,1
6,0.127,1,8,0,4,0000000000000000000000000000000000000000000000001111000000000000,0000000000000000000000000000000000000000010000000000000000000100,0,2,0.080000,0.337046,0,4,4,2,1,0,4,1
6,0.132,1,8,0,4,0000000000000000000000000000000000000000000000001111000000000000,0000000000000000000000000000000000000000010000000000000000000100,0,3,0.090000,0.426497,0,4,4,3,1,0,4,1
6,0.137,1,8,0,4,0000000000000000000000000000000000000000000000001111000000000000,0000000000000000000000000000000000000000010000000000000000000100,0,3,0.110000,0.466798,0,4,4,3,1,0,4,1
6,0.142,0,8,0,4,0000000000000000000000000000000000000000000000001111000000000000,0000000000000000000000000000000000000000000000000000000000000100,0,4,0.350000,0.931397,0,0,8,4,0,1,4,1
7,0.158,1,4,0,8,0000000000000000000000000000000000000000000011111111000000000000,0000000000000000000000000000000000000000010000000000000000000100,0,3,0.190000,0.523355,0,5,5,3,1,0,4,1
8,0.174,1,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000010000000000000000100,0,4,0.140000,0.616766,0,5,5,4,1,0,4,1
8,0.179,0,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000000000000000000000100,0,3,0.090000,0.402368,0,5,5,3,1,0,4,1
8,0.184,0,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000000000000000000000100,0,2,0.110000,0.397366,0,5,5,2,1,0,4,1
8,0.189,0,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000000000000000000000100,0,3,0.080000,0.391918,0,4,4,3,1,0,4,1
9,0.205,0,8,0,4,0000000000000000000000000000000000000000000000001111000000000000,0000000000000000000000000000000000000000000000000000000000000100,0,2,0.050000,0.259808,0,4,4,2,1,0,4,1
9,0.210,1,8,0,4,0000000000000000000000000000000000000000000000001111000000000000,0000000000000000000000000000000000000000000010000000000000000100,0,2,0.070000,0.324191,0,4,4,2,1,0,4,1
9,0.215,0,8,0,4,0000000000000000000000000000000000000000000000001111000000000000,0000000000000000000000000000000000000000000000000000000000000100,0,2,0.050000,0.259808,0,4,4,2,1,0,4,1
9,0.220,2,8,0,4,0000000000000000000000000000000000000000000000001111000000000000,0000000000000000000000000000000000000000001010000000000000000100,0,3,0.100000,0.435890,0,4,4,3,1,0,4,1
9,0.225,1,8,0,4,0000000000000000000000000000000000000000000000001111000000000000,0000000000000000000000000000000000000000100000000000000000000110,0,2,0.060000,0.276405,0,3,3,2,1,0,4,1
10,0.241,0,9,0,3,0000000000000000000000000000000000000000000000000111000000000000,0000000000000000000000000000000000000000000000000000000000000100,0,2,0.130000,0.482804,0,3,3,2,1,0,4,1
10,0.246,0,9,1,3,0000000000000000000000000000000000000000000000000111000000000000,0000000000000000000000000000000000000000000000000001000000000100,0,2,0.120000,0.406940,0,3,3,2,1,0,4,1
10,0.251,0,9,1,3,0000000000000000000000000000000000000000000000000111000000000000,0000000000000000000000000000000000000000000000000100000000000100,0,3,0.120000,0.453431,0,0,6,3,0,1,4,1
11,0.267,1,6,1,6,0000000000000000000000000000000000000000000000111111000000000000,0000000000000000000000000000000000000000000010100000000000000100,0,4,0.140000,0.548088,0,4,4,4,1,0,4,1
12,0.283,0,8,0,4,0000000000000000000000000000000000000000000000001111000000000000,0000000000000000000000000000000000000000000000000000000000000001,0,3,0.060000,0.369324,0,4,4,3,1,0,4,1
12,0.288,0,8,0,4,0000000000000000000000000000000000000000000000001111000000000000,0000000000000000000000000000000000000000000000000000000000000001,0,3,0.100000,0.458258,0,4,4,3,1,0,4,1
12,0.293,0,8,3,4,0000000000000000000000000000000000000000000000001111000000000000,0000000000000000000000000000000000000000000000000111000000000001,0,4,0.210000,0.778396,0,0,8,4,0,1,4,1
13,0.309,0,4,2,8,0000000000000000000000000000000000000000000011111111000000000000,0000000000000000000000000000000000000000000011000000000000000100,0,3,0.120000,0.515364,0,5,5,3,1,0,4,1
14,0.325,1,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000100000000000000000000100,0,4,0.130000,0.610819,0,5,5,4,1,0,4,1
14,0.330,1,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000010000000000000000000100,0,2,0.080000,0.337046,0,5,5,2,1,0,4,1
14,0.335,0,7,2,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000000010010000000000100,0,3,0.120000,0.495580,0,5,5,3,1,0,4,1
14,0.340,0,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000000000000000000000100,0,2,0.080000,0.365513,0,4,4,2,1,0,4,1
15,0.356,2,8,0,4,0000000000000000000000000000000000000000000000001111000000000000,0000000000000000000000000000000000000000001001000000000000000100,0,3,0.100000,0.435890,0,4,4,3,1,0,4,1
15,0.361,0,8,1,4,0000000000000000000000000000000000000000000000001111000000000000,0000000000000000000000000000000000000000000000000010000000000110,0,1,0.050000,0.217945,0,4,4,1,1,0,4,1
15,0.366,1,8,0,4,0000000000000000000000000000000000000000000000001111000000000000,0000000000000000000000000000000000000000001000000000000000000100,0,2,0.050000,0.259808,0,4,4,2,1,0,4,1
15,0.371,1,8,0,4,0000000000000000000000000000000000000000000000001111000000000000,0000000000000000000000000000000000000000010000000000000000000100,0,3,0.120000,0.453431,0,4,4,3,1,0,4,1
15,0.376,1,8,0,4,0000000000000000000000000000000000000000000000001111000000000000,0000000000000000000000000000000000000000010000000000000000000100,0,4,0.130000,0.577148,0,0,8,4,0,1,4,1
16,0.392,1,4,0,8,0000000000000000000000000000000000000000000011111111000000000000,0000000000000000000000000000000000000000010000000000000000000100,0,3,0.100000,0.435890,0,5,5,3,1,0,4,1
17,0.408,2,7,1,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000011000010000000000000100,0,4,0.190000,0.716868,0,5,5,4,1,0,4,1
17,0.413,0,7,1,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000000001000000000000100,0,3,0.140000,0.529528,0,5,5,3,1,0,4,1
17,0.418,1,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000001000000000000000000100,0,3,0.240000,0.634350,0,5,5,3,1,0,4,1
17,0.423,1,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000001000000000000000000100,0,4,0.150000,0.589491,0,4,4,4,1,0,4,1
18,0.439,1,8,1,4,0000000000000000000000000000000000000000000000001111000000000000,0000000000000000000000000000000000000000010000001000000000000100,0,4,0.150000,0.572276,0,0,8,4,0,1,4,1
19,0.455,0,4,0,8,0000000000000000000000000000000000000000000011111111000000000000,0000000000000000000000000000000000000000000000000000000000000100,0,5,0.200000,0.848528,0,5,5,5,1,0,5,1
20,0.471,1,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000001000000000000000000100,0,2,0.090000,0.376696,0,5,5,2,1,0,5,1
20,0.476,0,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000000000000000000000100,0,3,0.170000,0.633325,0,5,5,3,1,0,5,1
20,0.481,0,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000000000000000000000100,0,5,0.160000,0.717217,0,0,10,5,0,1,5,1
21,0.497,0,2,0,10,0000000000000000000000000000000000000000001111111111000000000000,0000000000000000000000000000000000000000000000000000000000000100,0,5,0.230000,0.732871,0,6,6,5,1,0,5,1
22,0.513,0,6,0,6,0000000000000000000000000000000000000000000000111111000000000000,0000000000000000000000000000000000000000000000000000000000000011,0,4,0.090000,0.491833,0,6,6,4,1,0,5,1
22,0.518,0,6,0,6,0000000000000000000000000000000000000000000000111111000000000000,0000000000000000000000000000000000000000000000000000000000000010,0,2,0.060000,0.276405,0,6,6,2,1,0,5,1
22,0.523,2,6,0,6,0000000000000000000000000000000000000000000000111111000000000000,0000000000000000000000000000000000000000000011000000000000000010,0,1,0.040000,0.195959,0,5,5,1,1,0,5,1
23,0.539,7,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000111111100000000000000010,0,3,0.080000,0.416653,0,5,5,3,1,0,5,1
23,0.544,7,7,3,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000111111111010000000000010,0,3,0.110000,0.466798,0,5,5,3,1,0,5,1
23,0.549,7,7,1,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000111111110000000000000010,0,4,0.100000,0.500000,0,5,5,4,1,0,5,1
23,0.554,7,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000111111100000000000000010,0,5,0.110000,0.598247,0,0,10,5,0,1,5,1
24,0.570,2,2,3,10,0000000000000000000000000000000000000000001111111111000000000000,0000000000000000000000000000000000000000111000010010000000000010,0,3,0.120000,0.474974,0,6,6,3,1,0,5,1
25,0.586,6,6,0,6,0000000000000000000000000000000000000000000000111111000000000000,0000000000000000000000000000000000000000111111000000000000000010,0,3,0.080000,0.365513,0,6,6,3,1,0,5,1
