"(PDH-CSV 4.0) (Pacific Standard Time)(480)","\\WIN-N2S56U6S0IO\Processor(_total)\% Idle Time","\\WIN-N2S56U6S0IO\memory\available bytes","\\WIN-N2S56U6S0IO\memory\committed bytes","\\WIN-N2S56U6S0IO\memory\% committed bytes in use","\\WIN-N2S56U6S0IO\memory\page faults/sec","\\WIN-N2S56U6S0IO\memory\free & zero page list bytes"
"01/01/2020 10:52:19.240"," ","3311022080","882356224","15.289773842154483319"," ","2839433216"
"01/01/2020 10:52:20.256","99.942212820941207951","3313930240","882204672","15.287147698757971526","23.615032463781922445","2839371776"
"01/01/2020 10:52:21.270","99.888793791083713813","3313811456","882204672","15.287147698757971526","58.224071094156606421","2839257088"
"01/01/2020 10:52:22.276","99.952321444056309474","3313958912","882204672","15.287147698757971526","0.9933239689371702319","2839228416"
"01/01/2020 10:52:23.282","99.95437142436126976","3313754112","882204672","15.287147698757971526","0","2839052288"
"01/01/2020 10:52:24.295","99.951738133164241162","3313983488","882003968","15.28366983758371056","7.8989276909449746","2839035904"
"01/01/2020 10:52:25.296","99.551143744467950114","3316871168","877019136","15.197290949336553112","602.2710111680821683","2838798336"
"01/01/2020 10:52:26.297","99.958659393756349232","3317026816","876904448","15.195303600094117513","0","2838810624"
"01/01/2020 10:52:27.310","99.921010324966047733","3317932032","876904448","15.195303600094117513","133.36206050903408027","2838814720"
"01/01/2020 10:52:28.321","99.968254511056713341","3317932032","876761088","15.19281939025801087","3.9534372072603294335","2838810624"
"01/01/2020 10:52:29.328","99.876730540311598361","3318001664","878870528","15.229372497468574466","91.383463188903419905","2838839296"
"01/01/2020 10:52:30.340","99.979541241496775683","3318013952","878800896","15.228165899223686353","0","2838851584"
"01/01/2020 10:52:31.347","99.975405765142937753","3318198272","878641152","15.225397798983705044","0","2838863872"
"01/01/2020 10:52:32.358","99.981567481598119684","3318198272","878637056","15.225326808920438992","3.9534622148837179623","2838863872"
"01/01/2020 10:52:33.365","99.979755739128691516","3318198272","878637056","15.225326808920438992","0","2838863872"
"01/01/2020 10:52:34.377","99.974218484220727987","3318370304","878579712","15.224333134299222081","0","2838863872"
"01/01/2020 10:52:35.388","99.948691007636824679","3318566912","878198784","15.217732292417840867","1.9777084568989096169","2838908928"
"01/01/2020 10:52:36.396","99.978517597056239197","3318583296","878100480","15.216028833579278157","0","2838925312"
"01/01/2020 10:52:37.402","99.965900973168146493","3318591488","878014464","15.21453832164745279","4.9667007547895138941","2838937600"
"01/01/2020 10:52:38.409","99.967126550458161205","3318722560","877887488","15.212338048781345989","0.99381044914170058036","2838937600"
"01/01/2020 10:52:39.421","99.965021294435345567","3318726656","877887488","15.212338048781345989","0","2838937600"
"01/01/2020 10:52:40.427","99.974877735164227488","3318890496","877772800","15.210350699538913943","0","2838966272"
"01/01/2020 10:52:41.440","99.978356776536728034","3318890496","877772800","15.210350699538913943","0","2838966272"
"01/01/2020 10:52:42.441","99.978416696388237028","3319025664","877686784","15.2088601876070868","2.9964581864236472519","2838966272"
"01/01/2020 10:52:43.447","99.977341860346555791","3319025664","877686784","15.2088601876070868","0","2838966272"
"01/01/2020 10:52:44.454","99.981673450269823888","3319222272","877629440","15.207866489702803747","0","2838994944"
"01/01/2020 10:52:45.466","99.984631755615865245","3319222272","877629440","15.207866489702803747","0","2838994944"
"01/01/2020 10:52:46.478","99.974319841674955001","3319193600","877572096","15.206872815081586836","0.98887730583937982765","2838966272"
"01/01/2020 10:52:47.485","99.943174141176513103","3319443456","877023232","15.197361916116754799","16.877699128802955642","2838986752"
"01/01/2020 10:52:48.492","99.907067360370348297","3319533568","876789760","15.193316227568621102","23.839772886430303345","2839072768"
"01/01/2020 10:52:49.498","91.960808752580732062","3265708032","995659776","17.253136988089686099","38475.094510433271353","2785087488"
"01/01/2020 10:52:50.624","61.577958818210731806","3243155456","1018396672","17.647129790309616482","8422.5024966418350232","2747809792"
"01/01/2020 10:52:51.782","0","3244339200","1015488512","17.596736181899146345","75.771606811833009942","2747809792"
"01/01/2020 10:52:52.863","0","3244343296","1015488512","17.596736181899146345","8.351838067882068728","2747809792"
"01/01/2020 10:52:53.989","0","3244609536","1015287808","17.593258320724881827","1171.8420211363015824","2747678720"
"01/01/2020 10:52:55.109","0","3245416448","1009389568","17.491051582035389345","74.109769783803940868","2747678720"
"01/01/2020 10:52:56.225","0","3245580288","1009221632","17.488141524951938521","58.650260233870582738","2747678720"
"01/01/2020 10:52:57.374","0","3245731840","1008975872","17.483882912780128294","26.295615661879050862","2747678720"
"01/01/2020 10:52:58.452","0","3245789184","1008947200","17.483386075469521614","15.640503937036850601","2747678720"
"01/01/2020 10:52:59.682","0","3245891584","1008832512","17.481398726227087792","77.094014920972483651","2747678720"
"01/01/2020 10:53:00.843","0","3247702016","1001271296","17.350375353673094025","329.39025745966000613","2748047360"
"01/01/2020 10:53:02.032","0","3248037888","1001242624","17.349878516362483794","1.6882617859243538305","2748051456"
"01/01/2020 10:53:03.204","0","3248730112","1001185280","17.348884841741270435","0","2748100608"
"01/01/2020 10:53:04.374","0","3248799744","1001185280","17.348884841741270435","6.0032029660625214618","2748166144"
"01/01/2020 10:53:05.577","0","3248861184","1001127936","17.347891167120053524","10.828786145551047682","2748211200"
"01/01/2020 10:53:06.733","0","3248877568","1001070592","17.34689749249883306","2.5946085073061584403","2748223488"
"01/01/2020 10:53:07.921","0","3248939008","1000857600","17.34320668441784008","1.6778037883970637889","2748284928"
"01/01/2020 10:53:09.108","0","3249057792","1000464384","17.336392895629721522","3.3811424051807219548","2748403712"
