"(PDH-CSV 4.0) (Pacific Standard Time)(480)","\\WIN-N2S56U6S0IO\Processor(_total)\% Idle Time","\\WIN-N2S56U6S0IO\memory\available bytes","\\WIN-N2S56U6S0IO\memory\committed bytes","\\WIN-N2S56U6S0IO\memory\% committed bytes in use","\\WIN-N2S56U6S0IO\memory\page faults/sec","\\WIN-N2S56U6S0IO\memory\free & zero page list bytes"
"01/14/2020 07:17:57.079"," ","3372474368","832053248","14.418106482927244727"," ","2988949504"
"01/14/2020 07:17:58.089","99.876827149743419909","3371999232","831823872","14.414131784442377082","96.030019974244154923","2988482560"
"01/14/2020 07:17:59.090","99.952317750037295241","3371941888","831709184","14.412144411916877118","5.9954506520452275353","2988417024"
"01/14/2020 07:18:00.104","99.798229741273289051","3371474944","831643648","14.411008780452192468","109.42745093090721298","2987962368"
"01/14/2020 07:18:01.116","99.948916882757771418","3371462656","831643648","14.411008780452192468","1.9765898626438054286","2987950080"
"01/14/2020 07:18:02.128","99.926875939070399113","3371405312","831586304","14.410015105830975557","0","2987892736"
"01/14/2020 07:18:03.134","99.959266345260488151","3371413504","831299584","14.405046732724887448","0","2987896832"
"01/14/2020 07:18:04.141","99.979656504852442822","3371421696","831168512","14.402775469795514596","2.9799754589087705803","2987905024"
"01/14/2020 07:18:05.147","99.874349034171260087","3371311104","831025152","14.400291283242472318","170.95843573031305596","2987704320"
"01/14/2020 07:18:06.160","99.985164261357510895","3371311104","831025152","14.400291283242472318","0","2987704320"
"01/14/2020 07:18:07.161","99.951997818627461356","3371053056","830967808","14.399297608621255407","11.985523884252600624","2987446272"
"01/14/2020 07:18:08.171","99.976084077972444675","3371048960","830967808","14.399297608621255407","1.9790376375356943939","2987446272"
"01/14/2020 07:18:09.174","99.881558635704664084","3370979328","831852544","14.414628621752987314","93.731468715277600268","2987327488"
"01/14/2020 07:18:10.186","99.980431126315750134","3370979328","831852544","14.414628621752987314","0","2987327488"
"01/14/2020 07:18:11.193","99.974266043637527446","3371012096","831766528","14.413138086538095806","0.99282731903364151993","2987331584"
"01/14/2020 07:18:12.199","99.98200243081470262","3371012096","831766528","14.413138086538095806","4.9690818756614465457","2987331584"
"01/14/2020 07:18:13.200","99.982801392357700365","3371053056","831709184","14.412144411916877118","0","2987331584"
"01/14/2020 07:18:14.207","99.981464664585843138","3371053056","831709184","14.412144411916877118","0","2987331584"
"01/14/2020 07:18:15.219","99.962455488159690731","3371057152","831508480","14.408666550742617929","0.98833937439303598538","2987335680"
"01/14/2020 07:18:16.226","99.943344278760449129","3371069440","830971904","14.39936857540145887","11.919873418890874817","2987343872"
"01/14/2020 07:18:17.235","93.141537187569923617","3314446336","944226304","16.361880003558908925","36311.65766845044709","2931331072"
"01/14/2020 07:18:18.245","95.689568755794695676","3294863360","963411968","16.694335829628244028","8372.3944364587077871","2904498176"
"01/14/2020 07:18:19.279","78.946638220354245163","3282706432","973746176","16.87341055760006725","2941.895595607242285","2886332416"
"01/14/2020 07:18:20.651","0","3283423232","973746176","16.87341055760006725","17.598204396544737449","2886266880"
"01/14/2020 07:18:22.043","0","3283423232","973746176","16.87341055760006725","0","2886266880"
"01/14/2020 07:18:23.415","0","3283423232","973746176","16.87341055760006725","2.1852917626738181944","2886266880"
"01/14/2020 07:18:24.702","0","3283296256","973516800","16.869435835832131687","24.881058819678337102","2886135808"
"01/14/2020 07:18:25.962","0","3283292160","973213696","16.864183549039108101","1.5844755619600057184","2886135808"
"01/14/2020 07:18:27.279","0","3283292160","973213696","16.864183549039108101","5.32435920196070267","2886135808"
"01/14/2020 07:18:28.511","0","3283283968","973209600","16.864112582258904638","8.1108342252547362961","2886135808"
"01/14/2020 07:18:29.823","0","3283288064","973209600","16.864112582258904638","0","2886135808"
"01/14/2020 07:18:31.184","0","3283283968","973090816","16.86205424295320654","6.6101134736146303084","2886135808"
"01/14/2020 07:18:32.420","0","3283283968","973062144","16.861557405642596308","0","2886135808"
"01/14/2020 07:18:33.639","0","3283279872","972976128","16.860066893710769165","128.87419850714425706","2886135808"
"01/14/2020 07:18:34.981","0","3283206144","972976128","16.860066893710769165","61.083755438223427348","2886070272"
"01/14/2020 07:18:36.342","0","3283111936","972918784","16.859073219089555806","69.789381523562440179","2886004736"
"01/14/2020 07:18:37.904","0","3283099648","971771904","16.839199680099074641","38.39954289184141345","2886004736"
"01/14/2020 07:18:39.265","0","3283075072","971755520","16.838915766412139163","44.114082251735680984","2886004736"
"01/14/2020 07:18:40.653","0","3283152896","971698176","16.837922091790922252","0","2886004736"
"01/14/2020 07:18:42.011","0","3283152896","971591680","16.836076699391956168","0.74085916845077903758","2886004736"
"01/14/2020 07:18:43.370","0","3283152896","971444224","16.833521522775647838","5.1519319450397791371","2886004736"
"01/14/2020 07:18:44.731","0","3283206144","971386880","16.832527848154430927","0","2886004736"
"01/14/2020 07:18:46.092","0","3283251200","971329536","16.831534173533210463","2.2039469310149182313","2886004736"
"01/14/2020 07:18:47.465","0","3283574784","970149888","16.811092830451926261","48.781404121023896892","2886004736"
"01/14/2020 07:18:48.856","0","3283574784","970149888","16.811092830451926261","2.8750726315223538165","2886004736"
"01/14/2020 07:18:50.217","0","3283623936","970149888","16.811092830451926261","2.2040792216602800302","2886004736"
"01/14/2020 07:18:51.560","0","3283730432","970149888","16.811092830451926261","0","2886004736"
"01/14/2020 07:18:52.931","0","3283927040","970121216","16.810595993141316029","5.8324834918845365195","2886004736"
"01/14/2020 07:18:54.294","0","3283959808","970035200","16.809105481209492439","0.73351184566617366745","2886004736"
