"(PDH-CSV 4.0) (Pacific Standard Time)(480)","\\WIN-N2S56U6S0IO\Processor(_total)\% Idle Time","\\WIN-N2S56U6S0IO\memory\available bytes","\\WIN-N2S56U6S0IO\memory\committed bytes","\\WIN-N2S56U6S0IO\memory\% committed bytes in use","\\WIN-N2S56U6S0IO\memory\page faults/sec","\\WIN-N2S56U6S0IO\memory\free & zero page list bytes"
"01/01/2020 11:10:15.108"," ","3354603520","845082624","14.643884011228541553"," ","2890489856"
"01/01/2020 11:10:16.115","99.910284895123126603","3355254784","846176256","14.662834842378003941","78.472429854090947288","2890338304"
"01/01/2020 11:10:17.122","99.92028119502323591","3355234304","846032896","14.66035065582495811","15.892673596666989866","2890223616"
"01/01/2020 11:10:18.134","99.936512642621721625","3355234304","845959168","14.659073067516803945","3.953459088913492625","2890223616"
"01/01/2020 11:10:19.141","99.953635344567459242","3355389952","845791232","14.656163010433353122","0","2890235904"
"01/01/2020 11:10:20.147","99.969133597165210858","3355406336","845791232","14.656163010433353122","2.9814772742857722498","2890252288"
"01/01/2020 11:10:21.149","99.957464513664959327","3355492352","846909440","14.675539712113220503","77.867967075027593182","2890223616"
"01/01/2020 11:10:22.160","99.967533924331206663","3355492352","846909440","14.675539712113220503","0","2890223616"
"01/01/2020 11:10:23.172","99.924326466514429512","3355238400","846823424","14.67404920018139336","131.44700620054308615","2890092544"
"01/01/2020 11:10:24.174","99.974094342713584638","3355238400","846823424","14.67404920018139336","2.9950222729823030576","2890092544"
"01/01/2020 11:10:25.186","99.957494262565489862","3355176960","846737408","14.672558688249567993","4.941594308548404868","2890039296"
"01/01/2020 11:10:26.198","99.975320682868897393","3355176960","846737408","14.672558688249567993","0","2890039296"
"01/01/2020 11:10:27.204","99.979816635323842888","3355176960","846737408","14.672558688249567993","0","2890039296"
"01/01/2020 11:10:28.211","99.969039269767790756","3355164672","846622720","14.670571339007135947","0","2890027008"
"01/01/2020 11:10:29.217","99.966132441037103717","3355164672","846622720","14.670571339007135947","0","2890027008"
"01/01/2020 11:10:30.230","99.973565146059968356","3355172864","846336000","14.665602942617983473","0","2890035200"
"01/01/2020 11:10:31.242","99.934464673434732163","3355176960","847446016","14.684837687454379562","34.591392633654223232","2890039296"
"01/01/2020 11:10:32.248","99.967578871794401607","3355164672","847388672","14.683844012833164427","0","2890027008"
"01/01/2020 11:10:33.260","99.977438016063373993","3355176960","847216640","14.680862988969511918","0.98830508938577144029","2890043392"
"01/01/2020 11:10:34.272","99.960041711590505997","3355160576","847081472","14.678520735976874789","0.98839954984330891108","2890027008"
"01/01/2020 11:10:35.273","99.978007396186569622","3355160576","846966784","14.67653338673443919","0","2890027008"
"01/01/2020 11:10:36.286","91.798989424049082686","3325276160","883023872","15.301343080425017007","32718.530031105696253","2858606592"
"01/01/2020 11:10:37.289","90.704354309052959593","3304882176","896888832","15.541599904080294792","17747.125455410310678","2837352448"
"01/01/2020 11:10:38.304","96.221854327154645148","3302871040","884748288","15.33122435569093156","7662.5927970642042055","2827595776"
"01/01/2020 11:10:39.316","99.566953105799399282","3303034880","884764672","15.331508269377868814","122.49248498726176138","2827755520"
"01/01/2020 11:10:40.323","99.967509941451353939","3303067648","884338688","15.32412667649894189","18.873196653643169896","2827776000"
"01/01/2020 11:10:41.334","99.885428666070097847","3303309312","884252672","15.322636164567116523","89.982869634796116998","2827792384"
"01/01/2020 11:10:42.341","99.969421914341054958","3303309312","884252672","15.322636164567116523","0","2827792384"
"01/01/2020 11:10:43.353","99.871020216155528715","3304771584","882221056","15.287431612444910556","75.111647039301473683","2828234752"
"01/01/2020 11:10:44.365","99.935733257352694636","3305664512","881987584","15.28338592389677153","69.158923748828627254","2828288000"
"01/01/2020 11:10:45.370","92.501470478556001353","3260784640","998510592","17.302536921878935772","37583.96345862482849","2783944704"
"01/01/2020 11:10:46.478","79.537853535911580138","3234504704","1020510208","17.683753864300381764","9398.6446996382710495","2743455744"
"01/01/2020 11:10:47.682","0","3235717120","1019383808","17.664235229060107457","49.260598417749577038","2743324672"
"01/01/2020 11:10:48.838","0","3235889152","1019383808","17.664235229060107457","0","2743324672"
"01/01/2020 11:10:50.025","0","3236098048","1019338752","17.663454478062561748","16.024525958677809712","2743324672"
"01/01/2020 11:10:51.202","0","3236233216","1019338752","17.663454478062561748","0","2743324672"
"01/01/2020 11:10:52.235","0","3236302848","1019338752","17.663454478062561748","0","2743324672"
"01/01/2020 11:10:53.338","0","3236331520","1019265024","17.662176889754409359","9.0667996463948146157","2743324672"
"01/01/2020 11:10:54.370","0","3236569088","1019236352","17.661680052443799127","7.7328411637693967862","2743324672"
"01/01/2020 11:10:55.510","0","3236982784","1019207680","17.661183215133188895","4.396562169763224226","2743324672"
"01/01/2020 11:10:56.670","0","3237543936","1019105280","17.659408789514426275","6.8602450599589701596","2743324672"
"01/01/2020 11:10:57.682","0","3237548032","1019076608","17.658911952203819595","8.9277468519524632029","2743324672"
"01/01/2020 11:10:58.854","0","3237548032","1018974208","17.657137526585053422","2.5622085007416313118","2743324672"
"01/01/2020 11:10:59.916","0","3237548032","1018945536","17.65664068927444319","0","2743324672"
"01/01/2020 11:11:01.041","0","3237466112","1019973632","17.674455888959219152","155.5558597536812897","2743259136"
"01/01/2020 11:11:02.213","0","3237335040","1019768832","17.670907061004754723","2.5504779978339637836","2743128064"
"01/01/2020 11:11:03.401","0","3237335040","1019625472","17.668422851168649856","2.5264262075959362797","2743128064"
"01/01/2020 11:11:04.416","0","3237351424","1019596800","17.667926013858039624","15.821179536174433622","2743128064"
