"(PDH-CSV 4.0) (Pacific Standard Time)(480)","\\WIN-N9B1TIBPDSS\Processor(_total)\% Idle Time","\\WIN-N9B1TIBPDSS\memory\available bytes","\\WIN-N9B1TIBPDSS\memory\committed bytes","\\WIN-N9B1TIBPDSS\memory\% committed bytes in use","\\WIN-N9B1TIBPDSS\memory\page faults/sec","\\WIN-N9B1TIBPDSS\memory\free & zero page list bytes"
"01/01/2020 10:17:35.138"," ","25201545216","114826891264","74.329373676872194"," ","22937133056"
"01/01/2020 10:17:36.139","99.569766546174392","25201815552","114827972608","74.330073635636381","94.918796969192869","22937133056"
"01/01/2020 10:17:37.140","93.853083536895042","25141846016","114954014720","74.411662825013437","34257.585572575241","22884499456"
"01/01/2020 10:17:38.141","43.485849400581188","24970661888","115157467136","74.543360987339028","66857.393834220391","23204765696"
"01/01/2020 10:17:39.151","3.1180943766543794","24932143104","115186294784","74.562021595091096","23130.420496416766","23181959168"
"01/01/2020 10:17:40.154","2.5794174793675615","24889958400","115220631552","74.584248376680591","25166.42992112604","23146729472"
"01/01/2020 10:17:41.156","3.9818031397916851","24897253376","115201794048","74.57205452364218","30517.165631142798","23160594432"
"01/01/2020 10:17:42.159","2.5275817112436938","24902914048","115194765312","74.567504710184295","23309.383563810738","23167459328"
"01/01/2020 10:17:43.161","3.144179707786829","24891211776","115199012864","74.570254230538907","32132.91478111086","23158001664"
"01/01/2020 10:17:44.164","2.6470669459391587","24872189952","115222986752","74.585772928452528","20366.838220232057","23141064704"
"01/01/2020 10:17:45.165","2.2645182616656117","24867078144","115229450240","74.58995684855384","24017.902709749269","23131152384"
"01/01/2020 10:17:46.167","4.0398191670908057","24867106816","115216936960","74.581856786874553","21218.832656887007","23130689536"
"01/01/2020 10:17:47.172","3.5549607266314451","24869789696","115223736320","74.586258124230952","22128.494516133203","23122808832"
"01/01/2020 10:17:48.175","60.751537268402814","24865488896","115220430848","74.584118457181404","19791.782391317225","23116578816"
"01/01/2020 10:17:49.176","81.705428571314414","24862441472","115223244800","74.585939961156328","31713.280376966959","23116193792"
"01/01/2020 10:17:50.176","88.112049700366597","24859144192","115225608192","74.587469821466939","10249.892478577924","23115919360"
"01/01/2020 10:17:51.177","92.826690753212006","24857522176","115226714112","74.588185705847152","8218.7910714778081","23115575296"
"01/01/2020 10:17:52.178","98.207506465920559","24857739264","115226714112","74.588185705847152","1591.5756859221331","23115587584"
"01/01/2020 10:17:53.178","99.484568430485893","24857702400","115226714112","74.588185705847152","4.9968060415782238","23115558912"
"01/01/2020 10:17:54.179","97.658726561454472","24857063424","115228520448","74.589354981339852","15139.454495879256","23114883072"
"01/01/2020 10:17:55.179","91.408526616302268","24857026560","115228520448","74.589354981339852","8811.8493173766728","23114854400"
"01/01/2020 10:17:56.180","85.113504932169562","24855818240","115229569024","74.590033752515453","12441.517425566928","23114760192"
"01/01/2020 10:17:57.181","85.851911451763243","24852664320","115229286400","74.589850794195627","12032.531504327255","23114539008"
"01/01/2020 10:17:58.181","87.574539959054178","24850579456","115228770304","74.589516728788041","12895.63202437938","23114457088"
"01/01/2020 10:17:59.182","98.507330900016314","24846598144","115228995584","74.58966255062019","8645.0838573134151","23112994816"
"01/01/2020 10:18:00.182","98.641023759034965","24845012992","115230220288","74.590455315678952","7167.9412228819729","23111417856"
"01/01/2020 10:18:01.182","99.385661292593824","24845635584","115228626944","74.589423922493452","483.73534839089541","23112032256"
"01/01/2020 10:18:02.183","99.475169255117621","24845627392","115228626944","74.589423922493452","6.9942276639089753","23112032256"
"01/01/2020 10:18:03.183","94.018480623551866","24845598720","115228626944","74.589423922493452","4975.7216170715428","23112003584"
"01/01/2020 10:18:04.184","85.136429188463197","24845049856","115227860992","74.588928109637678","12866.64773601273","23111970816"
"01/01/2020 10:18:05.184","84.746607586818115","24841969664","115227856896","74.58892545536834","13824.947465199632","23111753728"
"01/01/2020 10:18:06.184","83.523509045878953","24841236480","115230003200","74.590314802385478","21499.972050036333","23110918144"
"01/01/2020 10:18:07.185","98.012348260444909","24841666560","115229794304","74.590179574347601","972.5453350558613","23110897664"
"01/01/2020 10:18:08.185","99.401520480926038","24866398208","115229794304","74.590179574347601","4.9965364009668498","23110926336"
"01/01/2020 10:18:09.186","99.40133865800999","24866394112","115229794304","74.590179574347601","12.993277278336191","23110885376"
"01/01/2020 10:18:10.186","99.435635667825792","24866402304","115229794304","74.590179574347601","4.9999855000420501","23110893568"
"01/01/2020 10:18:11.187","96.04603780713235","24866766848","115219038208","74.583216960212027","9450.3305916546633","23111258112"
"01/01/2020 10:18:12.187","85.704059322045765","24874102784","115200147456","74.57098867152142","10538.563703462676","23118602240"
"01/01/2020 10:18:13.187","84.173109406379993","24874594304","115202084864","74.572242790500681","11337.007935905554","23118610432"
"01/01/2020 10:18:14.188","83.404967432249961","24875200512","115202752512","74.572674970741531","18118.915510429044","23118745600"
"01/01/2020 10:18:15.189","96.354154856366947","24875622400","115202760704","74.572680255997142","3393.5199452960992","23118716928"
"01/01/2020 10:18:16.189","99.222718401475376","24875638784","115202732032","74.572661699394843","92.964441101278766","23118741504"
"01/01/2020 10:18:17.189","97.361423407664219","24874074112","115221258240","74.584654037511129","14721.343428083106","23115816960"
"01/01/2020 10:18:18.189","90.629805544205183","24860655616","115216728064","74.581721582119755","13973.456830856785","23105789952"
"01/01/2020 10:18:19.190","97.233708085645986","24860913664","115219648512","74.583612027248279","15449.714790251863","23105724416"
"01/01/2020 10:18:20.191","84.573912169179223","24861962240","115208937472","74.576678586792355","11205.901748268592","23106760704"
"01/01/2020 10:18:21.191","84.52322312983533","24862453760","115208818688","74.576601706113806","12040.032508087772","23106813952"
"01/01/2020 10:18:22.191","83.777225811999656","24867282944","115205607424","74.574522994126781","10248.955929489503","23111196672"
"01/01/2020 10:18:23.193","93.736399775859823","24873693184","115197468672","74.569254642019345","4394.1821945901165","23117602816"
"01/01/2020 10:18:24.194","97.525874615290945","24874434560","115199696896","74.570697004574043","15029.113662916883","23117697024"
"01/01/2020 10:18:25.195","99.430246247302208","24874430464","115199688704","74.570691719318432","12.987084344619277","23117692928"
"01/01/2020 10:18:26.195","99.247173726617049","24874471424","115199668224","74.570678447971744","8.9999010010889879","23117725696"
"01/01/2020 10:18:27.195","99.449034738340245","24874491904","115199582208","74.570622778164832","13.999888000895993","23117754368"
"01/01/2020 10:18:28.207","88.5814958821001","24874569728","115200655360","74.571317451673409","8672.8794799790085","23117836288"
"01/01/2020 10:18:29.207","83.529190714481203","24881684480","115191271424","74.565243063160509","16352.204402555031","23124586496"
"01/01/2020 10:18:30.209","83.971621405198931","24882225152","115192324096","74.565924465322382","10507.135276446093","23124672512"
"01/01/2020 10:18:31.210","88.318883373343809","24886460416","115183591424","74.560271663256046","14073.979501620488","23128915968"
"01/01/2020 10:18:32.210","99.444090289675941","24887259136","115183607808","74.560282280333396","4.9976940639588889","23128956928"
"01/01/2020 10:18:33.211","99.412332648685933","24887296000","115183607808","74.560282280333396","7.9959716294930621","23128985600"
"01/01/2020 10:18:34.211","99.397170009495426","24887410688","115183607808","74.560282280333396","28.99640154656807","23129104384"
"01/01/2020 10:18:35.211","99.4588749241952","24887427072","115183607808","74.560282280333396","4.9996370263518868","23129124864"
"01/01/2020 10:18:36.212","90.72076438136331","24887504896","115187138560","74.562567792498172","13006.455862687961","23129194496"
"01/01/2020 10:18:37.212","84.70145082310637","24892837888","115173277696","74.553595430812237","9382.9286897419588","23134314496"
"01/01/2020 10:18:38.214","84.347538180223651","24892854272","115176157184","74.555459356530434","10892.707924994043","23134322688"
"01/01/2020 10:18:39.215","85.076791154272783","24898265088","115168821248","74.550710682419762","10626.191038475663","23138840576"
"01/01/2020 10:18:40.215","99.436510488660218","24898711552","115168821248","74.550710682419762","4.9999490005201945","23138848768"
"01/01/2020 10:18:41.216","98.503155861217067","24898764800","115170369536","74.551712925208662","7532.8448827626671","23138893824"
"01/01/2020 10:18:42.216","99.196474403991047","24898772992","115170369536","74.551712925208662","16.994823376799427","23138910208"
"01/01/2020 10:18:43.217","99.416082197690599","24898781184","115170369536","74.551712925208662","8.9923007920618367","23138918400"
