"(PDH-CSV 4.0) (Pacific Standard Time)(480)","\\WIN-N9B1TIBPDSS\Processor(_total)\% Idle Time","\\WIN-N9B1TIBPDSS\memory\available bytes","\\WIN-N9B1TIBPDSS\memory\committed bytes","\\WIN-N9B1TIBPDSS\memory\% committed bytes in use","\\WIN-N9B1TIBPDSS\memory\page faults/sec","\\WIN-N9B1TIBPDSS\memory\free & zero page list bytes"
"01/14/2020 07:17:55.050"," ","25205710848","114830041088","74.331412598102219"," ","22956298240"
"01/14/2020 07:17:56.050","99.764187756661926","25205428224","114830041088","74.331412598102219","104.99569517649776","22956056576"
"01/14/2020 07:17:57.051","94.130250657708984","25146163200","114951770112","74.410209845381374","32824.119068780092","22903123968"
"01/14/2020 07:17:58.052","45.839794195443602","24972226560","115155226624","74.541910661976303","66256.910000131815","23226269696"
"01/14/2020 07:17:59.058","2.5533646136957415","24943865856","115179876352","74.557866848669448","28869.784427078739","23211900928"
"01/14/2020 07:18:00.061","2.6633320432703478","24891396096","115223953408","74.58639866080749","21452.642988950585","23166074880"
"01/14/2020 07:18:01.063","3.7347167347320034","24899571712","115204542464","74.573833629156894","28272.593349009392","23180558336"
"01/14/2020 07:18:02.065","2.9504225189628817","24900317184","115203461120","74.573133647109643","21207.613464374579","23182524416"
"01/14/2020 07:18:03.085","3.3552368303760245","24905220096","115202076672","74.572237481962006","24274.033496144777","23189643264"
"01/14/2020 07:18:04.090","2.5425251646650553","24871936000","115227324416","74.58858077288339","26118.109763109591","23158587392"
"01/14/2020 07:18:05.107","2.1324837562831882","24865128448","115226861568","74.588281166411079","24026.240415641765","23153664000"
"01/14/2020 07:18:06.108","2.5951922976066379","24869314560","115221114880","74.584561231216554","21872.861656273071","23150194688"
"01/14/2020 07:18:07.111","3.6428247554322142","24877334528","115221401600","74.584746843805718","15771.442791406793","23148457984"
"01/14/2020 07:18:08.113","67.425395309428893","24878415872","115211943936","74.578624725010854","20788.894119657201","23147372544"
"01/14/2020 07:18:09.113","82.384981602252907","24874696704","115217821696","74.582429503691955","21012.709461265749","23146618880"
"01/14/2020 07:18:10.113","87.395013359572488","24871804928","115218735104","74.583020753828578","10529.910495760785","23146270720"
"01/14/2020 07:18:11.114","92.867225314569239","24869416960","115221016576","74.584497598601615","6888.0999578038918","23145533440"
"01/14/2020 07:18:12.115","99.221758087081696","24869752832","115221016576","74.584497598601615","398.60430550592423","23145529344"
"01/14/2020 07:18:13.115","99.470013567652671","24869724160","115221012480","74.584494944332278","6.0000090000134998","23145517056"
"01/14/2020 07:18:14.115","97.592011644501895","24868966400","115221868544","74.58504910454738","15211.961970095077","23144759296"
"01/14/2020 07:18:15.115","92.278684219841736","24868978688","115221868544","74.58504910454738","6533.9294335621171","23144771584"
"01/14/2020 07:18:16.116","85.62651765132938","24867913728","115221782528","74.584993411457404","11696.043205195594","23144644608"
"01/14/2020 07:18:17.116","85.441925720445795","24864837632","115221618688","74.584887357099177","11546.660528180471","23144484864"
"01/14/2020 07:18:18.118","86.82421036537778","24862019584","115222749184","74.585619143812366","12817.759268448572","23144079360"
"01/14/2020 07:18:19.118","97.40164652355891","24856780800","115226054656","74.587758834144978","16444.120569831","23141269504"
"01/14/2020 07:18:20.119","99.495620790634547","24856801280","115226046464","74.587753525606303","5.9973809437418675","23141298176"
"01/14/2020 07:18:21.120","99.488660872282395","24856838144","115225899008","74.587658088325455","4.9950099850249599","23141335040"
"01/14/2020 07:18:22.120","99.505019106262495","24856907776","115225812992","74.587602395235464","7.9999888000156805","23141404672"
"01/14/2020 07:18:23.121","94.501379422711324","24856879104","115225780224","74.587581184363827","4866.0745593310457","23141355520"
"01/14/2020 07:18:24.122","83.005833078513049","24855179264","115225747456","74.587559973492191","28455.817358488152","23140241408"
"01/14/2020 07:18:25.122","84.472804633849393","24852439040","115225747456","74.587559973492191","13472.869313167665","23139999744"
"01/14/2020 07:18:26.122","84.794503301940708","24852074496","115225747456","74.587559973492191","13917.962421501461","23139852288"
"01/14/2020 07:18:27.123","97.798889000219077","24852660224","115225427968","74.58735317331444","1053.9565829828468","23139811328"
"01/14/2020 07:18:28.123","99.456623910427894","24877334528","115225427968","74.58735317331444","6.0000054000048602","23139815424"
"01/14/2020 07:18:29.123","98.376061735213398","24876527616","115225559040","74.587438016801016","7654.0864911773506","23139008512"
"01/14/2020 07:18:30.128","99.540270416992357","24876548096","115225530368","74.587419460198717","15.92034098186315","23139020800"
"01/14/2020 07:18:31.128","97.912563288724783","24876519424","115225509888","74.587406188852015","1536.9880114935106","23138983936"
"01/14/2020 07:18:32.129","86.236752055213941","24876417024","115225509888","74.587406188852015","11174.742564340684","23138906112"
"01/14/2020 07:18:33.130","84.639896636252857","24877379584","115205951488","74.574745719920557","11397.67413121581","23139549184"
"01/14/2020 07:18:34.130","83.72529073444602","24878321664","115206967296","74.575403256941456","19581.96671065659","23139536896"
"01/14/2020 07:18:35.133","96.778845971526621","24878592000","115206860800","74.575334339070906","3279.4568277372982","23139528704"
"01/14/2020 07:18:36.133","99.545958751903555","24878579712","115206836224","74.57531841345488","5.0000230001058004","23139532800"
"01/14/2020 07:18:37.133","99.539597725487567","24878575616","115206832128","74.575315759185543","8.0001112015457014","23139528704"
"01/14/2020 07:18:38.134","99.495184553730226","24878596096","115206828032","74.575313128199269","4.9949780490694655","23139540992"
"01/14/2020 07:18:39.135","98.382748706842293","24878563328","115210334208","74.577582714748004","7635.2731036191371","23139516416"
"01/14/2020 07:18:40.136","84.2410948821327","24881758208","115200729088","74.571365158672293","12154.723729033676","23142715392"
