iteration,time_sec,hvm_busy_cores,hvm_cores,primary_busy_cores,primary_cores,primary_cores_mask,system_busy_mask_raw,f_min,f_max,f_avg,f_stddev,f_med,pred_peak,upper_bound,cpu_max,overpredicted,safeguard,feedback_max,update_model
0,0.005,0,1,0,11,0000000000000000000000000000000000000000011111111111000000000000,0000000000000000000000000000000000000000000000000000000000000101,0,2,0.101010,0.414265,0,0,11,2,1,0,2,0
0,0.010,0,1,1,11,0000000000000000000000000000000000000000011111111111000000000000,0000000000000000000000000000000000000000000000010000000000000001,0,5,0.230000,0.719097,0,2,2,5,1,0,5,1
1,0.026,1,10,0,2,0000000000000000000000000000000000000000000000000011000000000000,0000000000000000000000000000000000000000010000000000000000000001,0,2,0.090000,0.319218,0,1,1,2,0,0,5,1
2,0.042,1,11,0,1,0000000000000000000000000000000000000000000000000001000000000000,0000000000000000000000000000000000000000010000000000000000000001,0,1,0.140000,0.346987,0,1,1,1,0,0,5,1
2,0.048,0,11,0,1,0000000000000000000000000000000000000000000000000001000000000000,0000000000000000000000000000000000000000000000000000000000000001,0,1,0.100000,0.300000,0,1,1,1,0,0,5,1
2,0.053,2,11,0,1,0000000000000000000000000000000000000000000000000001000000000000,0000000000000000000000000000000000000000011000000000000000000001,0,1,0.100000,0.300000,0,1,1,1,0,0,5,1
2,0.058,0,11,0,1,0000000000000000000000000000000000000000000000000001000000000000,0000000000000000000000000000000000000000000000000000000000000001,0,1,0.110000,0.312890,0,1,1,1,0,0,5,1
2,0.063,0,11,0,1,0000000000000000000000000000000000000000000000000001000000000000,0000000000000000000000000000000000000000000000000000000000000001,0,1,0.110000,0.312890,0,1,1,1,0,0,5,1
2,0.068,0,11,0,1,0000000000000000000000000000000000000000000000000001000000000000,0000000000000000000000000000000000000000000000000000000000000001,0,1,0.110000,0.312890,0,1,1,1,0,0,5,1
2,0.073,0,11,0,1,0000000000000000000000000000000000000000000000000001000000000000,0000000000000000000000000000000000000000000000000000000000000001,0,1,0.130000,0.336303,0,1,1,1,0,0,5,1
2,0.078,1,11,0,1,0000000000000000000000000000000000000000000000000001000000000000,0000000000000000000000000000000000000000010000000000000000000001,0,1,0.120000,0.324962,0,1,1,1,0,0,5,1
2,0.083,1,11,0,1,0000000000000000000000000000000000000000000000000001000000000000,0000000000000000000000000000000000000000010000000000000000000100,0,1,0.160000,0.366606,0,1,1,1,0,0,5,1
2,0.088,1,11,1,1,0000000000000000000000000000000000000000000000000001000000000000,0000000000000000000000000000000000000000010000000001000000000100,0,1,0.110000,0.312890,0,1,2,1,0,0,5,1
3,0.104,0,10,0,2,0000000000000000000000000000000000000000000000000011000000000000,0000000000000000000000000000000000000000000000000000000000000100,0,2,0.090000,0.349142,0,2,2,2,0,0,5,1
3,0.109,0,10,0,2,0000000000000000000000000000000000000000000000000011000000000000,0000000000000000000000000000000000000000000000000000000000000100,0,2,0.130000,0.461628,0,2,2,2,0,0,5,1
3,0.114,0,10,0,2,0000000000000000000000000000000000000000000000000011000000000000,0000000000000000000000000000000000000000000000000000000000000100,0,2,0.140000,0.469468,0,2,2,2,0,0,5,1
3,0.119,0,10,0,2,0000000000000000000000000000000000000000000000000011000000000000,0000000000000000000000000000000000000000000000000000000000000100,0,2,0.110000,0.421782,0,2,2,2,0,0,5,1
3,0.124,1,10,0,2,0000000000000000000000000000000000000000000000000011000000000000,0000000000000000000000000000000000000000100000000000000000000100,0,2,0.090000,0.319218,0,2,2,2,0,0,5,1
