"(PDH-CSV 4.0) (Pacific Standard Time)(480)","\\WIN-N9B1TIBPDSS\Processor(_total)\% Idle Time","\\WIN-N9B1TIBPDSS\memory\available bytes","\\WIN-N9B1TIBPDSS\memory\committed bytes","\\WIN-N9B1TIBPDSS\memory\% committed bytes in use","\\WIN-N9B1TIBPDSS\memory\page faults/sec","\\WIN-N9B1TIBPDSS\memory\free & zero page list bytes"
"01/06/2020 01:41:05.847"," ","25206104064","114822574080","74.326579080504956"," ","22959394816"
"01/06/2020 01:41:06.848","99.689521453983602","25206009856","114822574080","74.326579080504956","178.85932713920502","22959333376"
"01/06/2020 01:41:07.848","92.911282365137453","25146183680","114950201344","74.409194354528836","41862.235443172809","22906695680"
"01/06/2020 01:41:08.849","42.725788073756874","24966737920","115156951040","74.543026898648364","74270.357283713369","23223504896"
"01/06/2020 01:41:09.855","3.0401825958417934","24929726464","115188367360","74.563363211826271","24176.969296003968","23200546816"
"01/06/2020 01:41:10.871","2.7957363883311679","24885866496","115218759680","74.583036679444618","17763.103971148725","23162490880"
"01/06/2020 01:41:11.875","4.6567795921594231","24898502656","115200954368","74.571511003787521","30673.421571925126","23181365248"
"01/06/2020 01:41:12.876","2.7215398640593627","24900124672","115191062528","74.565107835122646","32481.849024885203","23185567744"
"01/06/2020 01:41:13.911","4.1377179510763158","24885907456","115212664832","74.579091364186979","22141.723648025523","23172780032"
"01/06/2020 01:41:14.914","5.1714108731737101","24885874688","115199217664","74.570386804307432","26138.458045378855","23174397952"
"01/06/2020 01:41:15.927","3.3696474174432502","24872517632","115221635072","74.584897974176542","23098.956387456725","23153651712"
"01/06/2020 01:41:16.938","2.9090494397065365","24869441536","115217620992","74.582299584192754","19733.309716094962","23152594944"
"01/06/2020 01:41:17.943","4.3810124024277313","24877432832","115215265792","74.580775032420817","19130.478402296016","23150018560"
"01/06/2020 01:41:18.945","71.895422097090773","24880193536","115203571712","74.57320524253258","22368.543495599377","23151316992"
"01/06/2020 01:41:19.945","82.715443972472585","24877080576","115204710400","74.573942337784445","21394.192547732931","23150649344"
"01/06/2020 01:41:20.945","87.917345643309872","24873553920","115206967296","74.575403256941456","10368.96267173438","23150129152"
"01/06/2020 01:41:21.946","92.747911673678956","24871927808","115208175616","74.576185428205918","7120.8890801645475","23149744128"
"01/06/2020 01:41:22.946","99.414788726760733","24872079360","115208192000","74.576196045283268","13.00000910000637","23149744128"
"01/06/2020 01:41:23.946","99.469534719682059","24872058880","115208192000","74.576196045283268","8.9997111092733917","23149740032"
"01/06/2020 01:41:24.946","98.538104841954208","24871534592","115210719232","74.577831959952093","7648.9817118165183","23149215744"
"01/06/2020 01:41:25.947","91.716731090447141","24871600128","115210682368","74.577808094811118","6433.813419410837","23149273088"
"01/06/2020 01:41:26.948","85.078442006599346","24870252544","115210678272","74.577805440541781","11178.737422047287","23149121536"
"01/06/2020 01:41:27.959","85.406139505920194","24867254272","115210522624","74.577704694722243","12064.424044178524","23149047808"
"01/06/2020 01:41:28.959","87.109349225626602","24863641600","115210936320","74.577972473245566","18823.879452787787","23147884544"
"01/06/2020 01:41:29.959","99.419018900525501","24860262400","115213561856","74.57967204381238","1294.3635614368416","23146561536"
"01/06/2020 01:41:30.960","99.479955456458825","24860237824","115213561856","74.57967204381238","18.995549342788983","23146528768"
"01/06/2020 01:41:31.960","99.288061982038158","24860168192","115213561856","74.57967204381238","13.991135216726681","23146475520"
"01/06/2020 01:41:32.961","98.531538214694493","24859770880","115215486976","74.580918199983643","7567.4201972965957","23146070016"
"01/06/2020 01:41:33.961","92.86965164875987","24859320320","115215454208","74.580896989112006","12357.981463027805","23145598976"
"01/06/2020 01:41:34.962","84.759421057752576","24858677248","115215380480","74.580849258830042","13036.835403609435","23145472000"
"01/06/2020 01:41:35.962","84.521986014125844","24855539712","115215380480","74.580849258830042","13172.530150596764","23145275392"
