"(PDH-CSV 4.0) (Pacific Standard Time)(480)","\\WIN-N2S56U6S0IO\Processor(_total)\% Idle Time","\\WIN-N2S56U6S0IO\memory\available bytes","\\WIN-N2S56U6S0IO\memory\committed bytes","\\WIN-N2S56U6S0IO\memory\% committed bytes in use","\\WIN-N2S56U6S0IO\memory\page faults/sec","\\WIN-N2S56U6S0IO\memory\free & zero page list bytes"
"12/31/2019 19:31:14.682"," ","3334696960","862326784","14.942696787170762107"," ","2858049536"
"12/31/2019 19:31:15.695","99.958708859626625554","3337428992","862326784","14.942696787170762107","22.720932419648907086","2857984000"
"12/31/2019 19:31:16.698","99.874485617209529664","3337318400","863383552","14.961008824166144748","70.746198014622535766","2857816064"
"12/31/2019 19:31:17.702","99.974953904420189588","3337228288","863383552","14.961008824166144748","5.9801977711204887811","2857725952"
"12/31/2019 19:31:18.710","99.964447416806649471","3337375744","863383552","14.961008824166144748","0","2857725952"
"12/31/2019 19:31:19.721","99.971146797146161589","3337310208","863383552","14.961008824166144748","0","2857660416"
"12/31/2019 19:31:20.728","99.960247726952317748","3337310208","863354880","14.960511986855538069","0","2857660416"
"12/31/2019 19:31:21.739","99.979402420898182413","3337310208","863354880","14.960511986855538069","0","2857660416"
"12/31/2019 19:31:22.747","99.910290772600745868","3336925184","863211520","14.958027800302492238","153.80830860575346719","2857467904"
"12/31/2019 19:31:23.759","99.9795623456181346","3336855552","863211520","14.958027800302492238","0.9883444538556800385","2857402368"
"12/31/2019 19:31:24.770","99.94699710376679036","3336859648","863154176","14.957034125681275327","1.9767385316548977681","2857410560"
"12/31/2019 19:31:25.777","99.98178342277567765","3336859648","863154176","14.957034125681275327","0","2857279488"
"12/31/2019 19:31:26.784","99.962663084547699555","3336597504","863154176","14.957034125681275327","0","2857148416"
"12/31/2019 19:31:27.795","99.967586704576447687","3336581120","862924800","14.953059403913343317","0","2857132032"
"12/31/2019 19:31:28.803","99.974575264959298693","3336450048","862924800","14.953059403913343317","0","2857000960"
"12/31/2019 19:31:29.814","99.922171220350321619","3336597504","862863360","14.951994762511922943","152.20671569633734066","2857000960"
"12/31/2019 19:31:30.826","99.973680613503617565","3336667136","862773248","14.950433260516829748","4.9418287454713079043","2857009152"
"12/31/2019 19:31:31.833","99.613364890572086097","3336728576","859193344","14.888399447055626013","88.406061556644004895","2857070592"
"12/31/2019 19:31:32.840","99.675503595693115244","3336724480","860127232","14.904582177965105316","412.22105299335066775","2857070592"
